;Lunes;Lunes;Lunes;Lunes;Lunes;Lunes;Lunes;Lunes;Lunes;Lunes;Lunes;Lunes;Lunes;Lunes;Lunes;Lunes;Lunes;Lunes;Lunes;Lunes;Lunes;Lunes;Lunes;Lunes;Lunes;Martes;Martes;Martes;Martes;Martes;Martes;Martes;Martes;Martes;Martes;Martes;Martes;Martes;Martes;Martes;Martes;Martes;Martes;Martes;Martes;Martes;Martes;Martes;Martes;Martes;Miercoles;Miercoles;Miercoles;Miercoles;Miercoles;Miercoles;Miercoles;Miercoles;Miercoles;Miercoles;Miercoles;Miercoles;Miercoles;Miercoles;Miercoles;Miercoles;Miercoles;Miercoles;Miercoles;Miercoles;Miercoles;Miercoles;Miercoles;Miercoles;Miercoles;Jueves;Jueves;Jueves;Jueves;Jueves;Jueves;Jueves;Jueves;Jueves;Jueves;Jueves;Jueves;Jueves;Jueves;Jueves;Jueves;Jueves;Jueves;Jueves;Jueves;Jueves;Jueves;Jueves;Jueves;Jueves;Viernes;Viernes;Viernes;Viernes;Viernes;Viernes;Viernes;Viernes;Viernes;Viernes;Viernes;Viernes;Viernes;Viernes;Viernes;Viernes;Viernes;Viernes;Viernes;Viernes;Viernes;Viernes;Viernes;Viernes;Viernes
;6:00 - 9:00;6:30 - 9:30;7:00 - 10:00;7:30 - 10:30;8:00 - 11:00;8:30 - 11:30;9:00 - 12:00;9:30 - 12:30;10:00 - 13:00;10:30 - 13:30;11:00 - 14:00;11:30 - 14:30;12:00 - 15:00;12:30 - 15:30;13:00 - 16:00;13:30 - 16:30;14:00 - 17:00;14:30 - 17:30;15:00 - 18:00;15:30 - 18:30;16:00 - 19:00;16:30 - 19:30;17:00 - 20:00;17:30 - 20:30;18:00 - 21:00;6:00 - 9:00;6:30 - 9:30;7:00 - 10:00;7:30 - 10:30;8:00 - 11:00;8:30 - 11:30;9:00 - 12:00;9:30 - 12:30;10:00 - 13:00;10:30 - 13:30;11:00 - 14:00;11:30 - 14:30;12:00 - 15:00;12:30 - 15:30;13:00 - 16:00;13:30 - 16:30;14:00 - 17:00;14:30 - 17:30;15:00 - 18:00;15:30 - 18:30;16:00 - 19:00;16:30 - 19:30;17:00 - 20:00;17:30 - 20:30;18:00 - 21:00;6:00 - 9:00;6:30 - 9:30;7:00 - 10:00;7:30 - 10:30;8:00 - 11:00;8:30 - 11:30;9:00 - 12:00;9:30 - 12:30;10:00 - 13:00;10:30 - 13:30;11:00 - 14:00;11:30 - 14:30;12:00 - 15:00;12:30 - 15:30;13:00 - 16:00;13:30 - 16:30;14:00 - 17:00;14:30 - 17:30;15:00 - 18:00;15:30 - 18:30;16:00 - 19:00;16:30 - 19:30;17:00 - 20:00;17:30 - 20:30;18:00 - 21:00;6:00 - 9:00;6:30 - 9:30;7:00 - 10:00;7:30 - 10:30;8:00 - 11:00;8:30 - 11:30;9:00 - 12:00;9:30 - 12:30;10:00 - 13:00;10:30 - 13:30;11:00 - 14:00;11:30 - 14:30;12:00 - 15:00;12:30 - 15:30;13:00 - 16:00;13:30 - 16:30;14:00 - 17:00;14:30 - 17:30;15:00 - 18:00;15:30 - 18:30;16:00 - 19:00;16:30 - 19:30;17:00 - 20:00;17:30 - 20:30;18:00 - 21:00;6:00 - 9:00;6:30 - 9:30;7:00 - 10:00;7:30 - 10:30;8:00 - 11:00;8:30 - 11:30;9:00 - 12:00;9:30 - 12:30;10:00 - 13:00;10:30 - 13:30;11:00 - 14:00;11:30 - 14:30;12:00 - 15:00;12:30 - 15:30;13:00 - 16:00;13:30 - 16:30;14:00 - 17:00;14:30 - 17:30;15:00 - 18:00;15:30 - 18:30;16:00 - 19:00;16:30 - 19:30;17:00 - 20:00;17:30 - 20:30;18:00 - 21:00
;Horario 1;Horario 2;Horario 3;Horario 4;Horario 5;Horario 6;Horario 7;Horario 8;Horario 9;Horario 10;Horario 11;Horario 12;Horario 13;Horario 14;Horario 15;Horario 16;Horario 17;Horario 18;Horario 19;Horario 20;Horario 21;Horario 22;Horario 23;Horario 24;Horario 25;Horario 26;Horario 27;Horario 28;Horario 29;Horario 30;Horario 31;Horario 32;Horario 33;Horario 34;Horario 35;Horario 36;Horario 37;Horario 38;Horario 39;Horario 40;Horario 41;Horario 42;Horario 43;Horario 44;Horario 45;Horario 46;Horario 47;Horario 48;Horario 49;Horario 50;Horario 51;Horario 52;Horario 53;Horario 54;Horario 55;Horario 56;Horario 57;Horario 58;Horario 59;Horario 60;Horario 61;Horario 62;Horario 63;Horario 64;Horario 65;Horario 66;Horario 67;Horario 68;Horario 69;Horario 70;Horario 71;Horario 72;Horario 73;Horario 74;Horario 75;Horario 76;Horario 77;Horario 78;Horario 79;Horario 80;Horario 81;Horario 82;Horario 83;Horario 84;Horario 85;Horario 86;Horario 87;Horario 88;Horario 89;Horario 90;Horario 91;Horario 92;Horario 93;Horario 94;Horario 95;Horario 96;Horario 97;Horario 98;Horario 99;Horario 100;Horario 101;Horario 102;Horario 103;Horario 104;Horario 105;Horario 106;Horario 107;Horario 108;Horario 109;Horario 110;Horario 111;Horario 112;Horario 113;Horario 114;Horario 115;Horario 116;Horario 117;Horario 118;Horario 119;Horario 120;Horario 121;Horario 122;Horario 123;Horario 124;Horario 125
Salon 1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1
Salon 2;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Salon 3;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
Salon 4;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
Salon 5;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0
Salon 6;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0
Salon 7;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1
Salon 8;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Salon 9;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
